"keys","en"
"NOVO JOGO","NEW GAME"
"CARREGAR","LOAD GAME"
"OPÇÕES","OPTIONS"
"SAIR","QUIT"
"Tela cheia","Fullscreen"
"Tremor de câmera","Screen shake"
"Distorção visual","Visual distortion"
"Idioma","Language"
"VOLTAR","BACK"
"JOGO PAUSADO","GAME PAUSED"
"CONTINUAR","RESUME"
"VOLTAR PARA O MENU","BACK TO MENU"
"ESCOLHA O OPERADOR","CHOOSE YOUR OPERATOR"
"DANO","DAMAGE"
"CADÊNCIA","FIRE RATE"
"PRECISÃO","ACCURACY"
"ALCANCE","RANGE"
"Enche a sala de chumbo. Quanto mais tempo no gatilho, mais o tiro abre.","Fills the room with lead. The longer on the trigger, the wider the shot."
"Um tiro, um alvo. Cada disparo pode marcar o inimigo e espalhar o Hack.","One shot, one target. Every round can mark the enemy and spread the Hack."
"ESTÁVEL","STABLE"
"DEGRADANDO","DEGRADING"
"CRÍTICO","CRITICAL"
"SALAS %d / %d","ROOMS %d / %d"
"HOSTIS %d","HOSTILES %d"
"RECARREGANDO...","RELOADING..."
"MIRA PREDITIVA ATIVA","PREDICTIVE AIM ONLINE"
"DEGRADAÇÃO EM 50%","DEGRADATION AT 50%"
"Eles pararam de mirar em você.","They stopped aiming at you."
"Agora miram onde você vai estar.","Now they aim where you will be."
"NÍVEL CRÍTICO","CRITICAL LEVEL"
"Não confie no que você está vendo.","Do not trust what you are seeing."
"Você já instalou o máximo deste implante.","You have already installed the maximum of this implant."
"DIRETORA OFFLINE","DIRECTOR OFFLINE"
"Você sobreviveu à própria cabeça. Por enquanto.","You survived your own head. For now."
"CONSCIÊNCIA PERDIDA","CONSCIOUSNESS LOST"
"Restaurando do último backup...","Restoring from last backup..."
"SALAS LIMPAS","ROOMS CLEARED"
"HOSTIS NEUTRALIZADOS","HOSTILES NEUTRALIZED"
"CRÉDITOS","CREDITS"
"TEMPO","TIME"
"LUTA DO CHEFE","BOSS FIGHT"
"DETERIORAÇÃO FINAL","FINAL DETERIORATION"
"RECOMEÇAR","RESTART"
"Operadora de Combate","Combat Operator"
"Hacker Experimental","Experimental Hacker"
"A granada crava onde bate e espera. Serve para preparar a esquina antes de o inimigo chegar nela.","The grenade sticks where it lands and waits. Good for priming a corner before the enemy reaches it."
"Estoura na parede, não no alvo. Em sala apertada, o ricochete de energia alcança quem a linha reta não alcança.","It bursts on the wall, not on the target. In a tight room, the energy splash reaches what a straight line cannot."
"Três projéteis que curvam atrás do inimigo mais próximo. Perdoam a mira torta, mas ainda perdem quem se desvia.","Three rounds that curve after the nearest enemy. They forgive crooked aim, but still lose whoever dodges."
"O acerto salta para até três vizinhos, doendo menos a cada pulo. Recompensa atirar na aglomeração, não no alvo isolado.","The hit jumps to up to three neighbours, hurting less each leap. It rewards shooting into the crowd, not the lone target."
"Cada acerto deposita uma dose. Na quinta o alvo estoura em área — se você insistir nele antes que as doses apodreçam.","Each hit plants a dose. On the fifth the target bursts in an area — if you keep at it before the doses rot away."
